group_id,artifact_id,version_number
axion,axion,1.0-M1
aopalliance,aopalliance,1.0
backport-util-concurrent,backport-util-concurrent,1.0
antlr,antlr,2.7.1
args4j,args4j,1.0
ant,ant,1.4.1
asm,asm,1.3.3
backport-util-concurrent,backport-util-concurrent,1.1_01
axion,axion,1.0-M2-dev
antlr,antlr,2.7.2
ant,ant,1.5
asm,asm,1.3.4
axion,axion,1.0-M3-dev
backport-util-concurrent,backport-util-concurrent,2.0_01_pd
asia.ivity.android,drag-sort-listview,1.0
ant,ant,1.5.1
bcel,bcel,5.0
asm,asm,1.3.5
backport-util-concurrent,backport-util-concurrent,2.1
antlr,antlr,2.7.5
ant,ant,1.5.2
bcel,bcel,5.1
asm,asm,1.4
backport-util-concurrent,backport-util-concurrent,2.2
bsf,bsf,2.2
antlr,antlr,2.7.6
asm,asm,1.4.1
bsf,bsf,2.3.0
backport-util-concurrent,backport-util-concurrent,3.0
antlr,antlr,2.7.6rc1
asm,asm,1.4.2
bsf,bsf,2.3.0-rc1
ant,ant,1.5.3-1
antlr,antlr,2.7.7
backport-util-concurrent,backport-util-concurrent,3.1
biz.aQute,bnd,0.0.160
asm,asm,1.4.3
bsf,bsf,2.4.0
ant,ant,1.5.4
biz.aQute,bnd,0.0.169
antlr,antlr,20030911
backport-util-concurrent,backport-util-concurrent-java12,3.1
asm,asm,1.5.1
ant,ant,1.6
biz.aQute,bnd,0.0.384
asm,asm,1.5.2
cewolf,cewolf,0.10.3
ant,ant,1.6.1
biz.aQute,bnd,1.50.0
cewolf,cewolf,0.12.0
asm,asm,1.5.3
ant,ant,1.6.2
cglib,cglib,1.0
cewolf,cewolf,1.0
ant,ant,1.6.3
cglib,cglib,2.0-rc2
asm,asm,2.1
ant,ant,1.6.4
cglib,cglib,2.0.1
asm,asm,2.2
cglib,cglib,2.0.2
ant,ant,1.6.5
asm,asm,2.2.1
asm,asm,2.2.2
cglib,cglib,2.1
cglib,cglib,2.1_2
asm,asm,3.0
cglib,cglib,2.1_3
cglib,cglib,2.2
cglib,cglib,2.2.2
cat.ereza,customactivityoncrash,1.0.1
cc.catalysts.boot,cat-boot-api,0.0.10
cglib,cglib,2.2_beta1
cat.ereza,customactivityoncrash,1.1.0
cat.ereza,customactivityoncrash,1.2.0
cc.catalysts.boot,cat-boot-cluster,0.0.10
colt,colt,1.0.3
cglib,cglib,3.0
colt,colt,1.2.0
cglib,cglib,3.1
cat.ereza,customactivityoncrash,1.3.0
commons-beanutils,commons-beanutils,1.0
cc.catalysts.boot,cat-boot-i18n,0.0.10
cat.ereza,customactivityoncrash,1.4.0
commons-beanutils,commons-beanutils,1.2
cat.ereza,customactivityoncrash,1.5.0
aspectwerkz,aspectwerkz-core,0.10
commons-beanutils,commons-beanutils,1.3
aspectwerkz,aspectwerkz-core,0.10.RC1
commons-cli,commons-cli,1.0
cc.catalysts.boot,cat-boot-i18n,0.0.5
commons-beanutils,commons-beanutils,1.4
commons-collections,commons-collections,1.0
commons-codec,commons-codec,1.1
aspectwerkz,aspectwerkz-core,0.10.RC2
commons-cli,commons-cli,1.0-beta-1
cat.inspiracio,html-parser,0.0.1
commons-collections,commons-collections,2.0
commons-codec,commons-codec,1.10
aspectwerkz,aspectwerkz-core,0.8
commons-cli,commons-cli,1.0-beta-2
commons-beanutils,commons-beanutils,1.4.1
cat.inspiracio,html-parser,0.0.2
cc.catalysts.boot,cat-boot-i18n-angular,0.0.10
commons-collections,commons-collections,2.0.20020914.015953
cglib,cglib,rc2-1.0
commons-codec,commons-codec,1.2
aspectwerkz,aspectwerkz-core,0.8.1
cc.catalysts.boot,cat-boot-i18n-angular,0.0.5
commons-beanutils,commons-beanutils,1.5
commons-collections,commons-collections,2.0.20020914.020746
commons-configuration,commons-configuration,1.0
commons-codec,commons-codec,1.3
au.com.bytecode,opencsv,2.4
aspectwerkz,aspectwerkz-core,0.9
commons-beanutils,commons-beanutils,1.6
dnsjava,dnsjava,2.1.7
commons-collections,commons-collections,2.0.20020914.020858
commons-cli,commons-cli,1.1
commons-codec,commons-codec,1.4
aspectwerkz,aspectwerkz-core,0.9.RC1
commons-digester,commons-digester,1.2
commons-configuration,commons-configuration,1.0-dev-2.20021231.045254
commons-beanutils,commons-beanutils,1.6.1
commons-collections,commons-collections,2.1
cc.catalysts.boot,cat-boot-javamelody,0.0.10
commons-cli,commons-cli,1.2
commons-codec,commons-codec,1.5
aspectwerkz,aspectwerkz-core,0.9.RC2.dev.20040125
commons-configuration,commons-configuration,1.0-dev-3.20030603.101200
commons-digester,commons-digester,1.3
commons-el,commons-el,1.0
commons-dbcp,commons-dbcp,1.0-dev-20020806
cc.catalysts.boot,cat-boot-javamelody,0.0.4
commons-cli,commons-cli,1.3
commons-codec,commons-codec,1.6
aspectwerkz,aspectwerkz-core,1.0
commons-beanutils,commons-beanutils,1.7.0
commons-configuration,commons-configuration,1.0-dev-3.20030607.194155
commons-collections,commons-collections,2.1.1
commons-dbcp,commons-dbcp,1.1
cc.catalysts.boot,cat-boot-javamelody,0.0.5
commons-cli,commons-cli,1.3.1
commons-codec,commons-codec,1.7
aspectwerkz,aspectwerkz-core,1.0-beta1
commons-beanutils,commons-beanutils,1.8.0
commons-collections,commons-collections,20030418.083655
commons-configuration,commons-configuration,1.0-rc1
commons-digester,commons-digester,1.4.1
commons-fileupload,commons-fileupload,1.0-beta-1
commons-cli,commons-cli,20040117.000000
commons-dbcp,commons-dbcp,1.1-RC1
aspectwerkz,aspectwerkz-core,1.0-beta2
commons-beanutils,commons-beanutils,1.8.0-BETA
commons-configuration,commons-configuration,1.0-rc2
commons-collections,commons-collections,20031027.000000
commons-codec,commons-codec,1.8
commons-digester,commons-digester,1.5
cc.catalysts.boot,cat-boot-report-pdf,0.0.10
aspectwerkz,aspectwerkz-core,1.0.RC1
commons-dbcp,commons-dbcp,1.1-RC2
commons-fileupload,commons-fileupload,1.0-rc1
commons-collections,commons-collections,20040102.233541
commons-configuration,commons-configuration,1.1
commons-beanutils,commons-beanutils,1.8.1
commons-httpclient,commons-httpclient,1.0
commons-digester,commons-digester,1.6
commons-codec,commons-codec,1.9
aspectwerkz,aspectwerkz-core,1.0.RC2
commons-dbcp,commons-dbcp,1.2
commons-collections,commons-collections,20040616
commons-io,commons-io,0.1
commons-digester,commons-digester,1.7
commons-configuration,commons-configuration,1.10
aspectwerkz,aspectwerkz-core,1.0.RC3
commons-httpclient,commons-httpclient,2.0
cc.catalysts.boot,cat-boot-thymeleaf,0.0.10
commons-dbcp,commons-dbcp,1.2.1
commons-collections,commons-collections,3.0
commons-io,commons-io,1.0
commons-beanutils,commons-beanutils,1.8.2
aspectwerkz,aspectwerkz-core,1.1
commons-digester,commons-digester,1.8
commons-configuration,commons-configuration,1.2
commons-httpclient,commons-httpclient,2.0-alpha2
commons-io,commons-io,1.1
commons-beanutils,commons-beanutils,1.8.3
commons-collections,commons-collections,3.0-dev2
aspectwerkz,aspectwerkz-core,2.0
commons-dbcp,commons-dbcp,1.2.2
commons-lang,commons-lang,1.0
commons-digester,commons-digester,1.8.1
commons-jxpath,commons-jxpath,1.1
commons-logging,commons-logging,1.0
aspectwerkz,aspectwerkz-core,2.0.RC1
commons-httpclient,commons-httpclient,2.0-alpha2.20020903.070259
commons-io,commons-io,1.2
commons-beanutils,commons-beanutils,1.9.0
commons-lang,commons-lang,1.0-b1
commons-collections,commons-collections,3.1
commons-digester,commons-digester,2.0
commons-dbcp,commons-dbcp,1.3
commons-net,commons-net,1.0.0
commons-jxpath,commons-jxpath,1.2
commons-logging,commons-logging,1.0.1
commons-pool,commons-pool,1.0
commons-httpclient,commons-httpclient,2.0-alpha2.20021115.044352
aspectwerkz,aspectwerkz-core,2.0.RC2
commons-primitives,commons-primitives,1.0
commons-lang,commons-lang,1.0-b1.1
commons-configuration,commons-configuration,1.3
commons-io,commons-io,1.3
commons-collections,commons-collections,3.2
commons-net,commons-net,1.1.0
commons-digester,commons-digester,2.1
commons-jxpath,commons-jxpath,1.3
commons-dbcp,commons-dbcp,1.4
aspectwerkz,aspectwerkz-core,2.0.RC3
commons-primitives,commons-primitives,20041207.202534
commons-logging,commons-logging,1.0.2
commons-httpclient,commons-httpclient,2.0-alpha3
commons-configuration,commons-configuration,1.4
commons-io,commons-io,1.3.1
commons-dbcp,commons-dbcp,20030818.201141
commons-beanutils,commons-beanutils,1.9.2
commons-lang,commons-lang,1.0.1
commons-logging,commons-logging,1.0.3
commons-fileupload,commons-fileupload,1.3.1
commons-httpclient,commons-httpclient,2.0-beta1
commons-pool,commons-pool,1.1
commons-dbcp,commons-dbcp,20030821.193421
commons-net,commons-net,1.2.1
commons-configuration,commons-configuration,1.5
commons-io,commons-io,1.3.2
commons-collections,commons-collections,3.2.2
commons-beanutils,commons-beanutils,20020520
commons-lang,commons-lang,2.0
commons-fileupload,commons-fileupload,1.3.2
commons-httpclient,commons-httpclient,2.0-beta2
commons-pool,commons-pool,1.1-RC1
commons-logging,commons-logging,1.0.4
commons-dbcp,commons-dbcp,20030825.184428
commons-net,commons-net,1.2.2
commons-beanutils,commons-beanutils,20021128.082114
commons-io,commons-io,1.4
commons-configuration,commons-configuration,1.6
commons-pool,commons-pool,1.1-RC2
commons-logging,commons-logging,1.1
commons-lang,commons-lang,2.1
commons-beanutils,commons-beanutils,20030211.134440
commons-net,commons-net,1.3.0
commons-configuration,commons-configuration,1.7
commons-io,commons-io,2.0
commons-validator,commons-validator,1.0.1
commons-lang,commons-lang,2.2
commons-logging,commons-logging,1.1.1
concurrent,concurrent,1.0
commons-httpclient,commons-httpclient,2.0-rc1
commons-net,commons-net,1.4.0
commons-pool,commons-pool,1.2
commons-validator,commons-validator,1.0.2
commons-lang,commons-lang,2.3
commons-io,commons-io,2.0.1
commons-configuration,commons-configuration,1.8
concurrent,concurrent,1.3.1
commons-logging,commons-logging,1.1.2
commons-transaction,commons-transaction,1.2
commons-net,commons-net,1.4.1
commons-validator,commons-validator,1.1.0
commons-pool,commons-pool,1.3
concurrent,concurrent,1.3.2
commons-httpclient,commons-httpclient,2.0-rc2
commons-io,commons-io,2.1
commons-lang,commons-lang,2.4
commons-configuration,commons-configuration,1.9
commons-validator,commons-validator,1.1.1
commons-pool,commons-pool,1.4
commons-net,commons-net,2.0
concurrent,concurrent,1.3.3
commons-httpclient,commons-httpclient,2.0-rc3
commons-logging,commons-logging,1.1.3
commons-configuration,commons-configuration,20030311.152757
commons-lang,commons-lang,2.5
commons-io,commons-io,2.2
cglib,cglib-nodep,2.1_2
commons-pool,commons-pool,1.5
concurrent,concurrent,1.3.4
commons-httpclient,commons-httpclient,2.0.1
commons-configuration,commons-configuration,20030620.073343
commons-net,commons-net,2.2
commons-validator,commons-validator,1.1.3
commons-logging,commons-logging,1.2
commons-lang,commons-lang,2.6
commons-io,commons-io,2.3
cglib,cglib-nodep,2.1_3
commons-net,commons-net,20030211.160026
commons-pool,commons-pool,1.5.1
commons-configuration,commons-configuration,20030706.202021
commons-validator,commons-validator,1.1.4
commons-httpclient,commons-httpclient,2.0.2
commons-lang,commons-lang,20030203.000129
commons-io,commons-io,2.4
cglib,cglib-nodep,2.2
commons-configuration,commons-configuration,20040121.140929
commons-net,commons-net,20030623.125255
commons-pool,commons-pool,1.5.2
commons-validator,commons-validator,1.2.0
commons-httpclient,commons-httpclient,2.0alpha1
cglib,cglib-nodep,2.2.2
commons-net,commons-net,20030805.205232
d-haven-mpool,managed-pool,1.0
commons-io,commons-io,2.5
commons-httpclient,commons-httpclient,2.0alpha1-20020606
commons-validator,commons-validator,1.3.0
cc.catalysts.gradle,cat-gradle-buildinfo-plugin,0.0.10
commons-pool,commons-pool,1.5.3
cglib,cglib-nodep,3.0
commons-net,commons-net,3.0
commons-httpclient,commons-httpclient,2.0alpha1-20020829
commons-logging,commons-logging-api,1.0.3
commons-io,commons-io,20030203.000550
cc.catalysts.gradle,cat-gradle-buildinfo-plugin,0.0.11
commons-validator,commons-validator,1.3.1
commons-pool,commons-pool,1.5.4
com.1gravity,android-colorpicker,1.5.0
cglib,cglib-nodep,3.1
commons-httpclient,commons-httpclient,20020423
commons-logging,commons-logging-api,1.0.4
cc.catalysts.gradle,cat-gradle-buildinfo-plugin,0.0.15
commons-net,commons-net,3.0.1
commons-validator,commons-validator,1.4.0
commons-pool,commons-pool,1.5.5
com.1gravity,android-colorpicker,2.0.0
commons-logging,commons-logging-api,1.1
se.jbee,silk-di,0.5
cc.catalysts.gradle,cat-gradle-buildinfo-plugin,0.0.17
commons-net,commons-net,3.1
commons-validator,commons-validator,1.4.1
commons-pool,commons-pool,1.5.6
com.1gravity,android-colorpicker,2.0.1
commons-beanutils,commons-beanutils-core,1.7.0
cc.catalysts.gradle,cat-gradle-buildinfo-plugin,0.0.22
commons-httpclient,commons-httpclient,3.0-alpha1
commons-net,commons-net,3.2
commons-pool,commons-pool,1.5.7
commons-validator,commons-validator,1.5.0
dnsjava,dnsjava,1.2.3
commons-httpclient,commons-httpclient,3.0-alpha2
commons-beanutils,commons-beanutils-core,1.8.0
dom4j,dom4j,1.1
commons-pool,commons-pool,1.6
commons-validator,commons-validator,1.5.1
commons-net,commons-net,3.3
dnsjava,dnsjava,1.3.2
cc.catalysts.gradle,cat-gradle-dmuncle-plugin,0.0.17
commons-httpclient,commons-httpclient,3.0-beta1
dom4j,dom4j,1.3
commons-pool,commons-pool,20020501
commons-net,commons-net,3.4
dnsjava,dnsjava,2.0.1
commons-beanutils,commons-beanutils-core,1.8.1
cc.catalysts.gradle,cat-gradle-dmuncle-plugin,0.0.22
dom4j,dom4j,1.4
commons-httpclient,commons-httpclient,3.0-rc1
commons-pool,commons-pool,20030623.172700
dnsjava,dnsjava,2.0.6
commons-net,commons-net,3.5
commons-beanutils,commons-beanutils-core,1.8.2
commons-pool,commons-pool,20030818.195203
commons-httpclient,commons-httpclient,3.0-rc2
dnsjava,dnsjava,2.0.7
cc.catalysts.gradle,cat-gradle-hibernate-plugin,0.0.10
commons-pool,commons-pool,20030821.192746
dom4j,dom4j,1.4-dev-2
commons-beanutils,commons-beanutils-core,1.8.3
dnsjava,dnsjava,2.0.8
commons-httpclient,commons-httpclient,3.0-rc3
cc.catalysts.gradle,cat-gradle-hibernate-plugin,0.0.11
commons-pool,commons-pool,20030825.183949
dom4j,dom4j,1.4-dev-3
jdepend,jdepend,2.9.1
dnsjava,dnsjava,2.1.0
dynaop,dynaop,1.0-beta
commons-httpclient,commons-httpclient,3.0-rc4
cc.catalysts.gradle,cat-gradle-hibernate-plugin,0.0.15
easymock,easymock,0.8
dom4j,dom4j,1.4-dev-4
dnsjava,dnsjava,2.1.1
commons-httpclient,commons-httpclient,3.0.1
easymock,easymock,1.0
cc.catalysts.gradle,cat-gradle-hibernate-plugin,0.0.17
dom4j,dom4j,1.4-dev-5
at.blogc,expandabletextview,1.0.0
at.blogc,expandabletextview,1.0.1
dnsjava,dnsjava,2.1.6
easymock,easymock,1.0.1b
dom4j,dom4j,1.4-dev-6
cc.catalysts.gradle,cat-gradle-hibernate-plugin,0.0.22
easymock,easymock,1.0rc
dom4j,dom4j,1.4-dev-7
easymock,easymock,1.1
dom4j,dom4j,1.4-dev-8
cc.catalysts.gradle,cat-gradle-less-plugin,0.0.10
at.blogc,expandabletextview,1.0.2
easymock,easymock,1.2_Java1.3
dom4j,dom4j,1.5
at.blogc,expandabletextview,1.0.3
cc.catalysts.gradle,cat-gradle-less-plugin,0.0.11
easymock,easymock,1.2_Java1.5
dom4j,dom4j,1.5-beta-2
cc.catalysts.gradle,cat-gradle-less-plugin,0.0.15
emma,emma,2.0.4217
dom4j,dom4j,1.5-rc1
easymock,easymock,1.2_RC2_Java1.3
cc.catalysts.gradle,cat-gradle-less-plugin,0.0.17
am.ik.marked4j,marked4j,0.9.0
emma,emma,2.0.5312
commons-httpclient,commons-httpclient,3.1
dom4j,dom4j,1.5.1
easymock,easymock,2.0
cc.catalysts.gradle,cat-gradle-less-plugin,0.0.22
commons-httpclient,commons-httpclient,3.1-alpha1
emma,emma,2.1.5320
am.ik.marked4j,marked4j,0.9.1
dom4j,dom4j,1.5.2
commons-httpclient,commons-httpclient,3.1-beta1
dom4j,dom4j,1.6
am.ik.marked4j,marked4j,0.9.2
cc.catalysts.gradle,cat-gradle-systemjs-plugin,0.0.10
commons-httpclient,commons-httpclient,3.1-rc1
dom4j,dom4j,1.6.1
cc.catalysts.gradle,cat-gradle-systemjs-plugin,0.0.11
excalibur-collections,excalibur-collections,1.0
cc.catalysts.gradle,cat-gradle-systemjs-plugin,0.0.15
excalibur-collections,excalibur-collections,20020820
cc.catalysts.gradle,cat-gradle-systemjs-plugin,0.0.17
dom4j,dom4j-core,1.4-dev-8
cc.catalysts.gradle,cat-gradle-systemjs-plugin,0.0.22
biz.aQute.bnd,bnd-maven-plugin,2.4.1
biz.aQute.bnd,bnd-maven-plugin,3.0.0
cc.catalysts.gradle,cat-gradle-utils,0.0.10
cc.catalysts.gradle,cat-gradle-utils,0.0.11
cc.catalysts.gradle,cat-gradle-utils,0.0.15
cc.catalysts.gradle,cat-gradle-utils,0.0.17
cc.catalysts.gradle,cat-gradle-utils,0.0.22
cc.catalysts.gradle,cat-gradle-webjars-plugin,0.0.22
excalibur-pool,excalibur-pool,1.0
asm,asm-tree,1.3.5
excalibur-pool,excalibur-pool,1.2
asm,asm-tree,1.5.1
asm,asm-tree,1.5.2
excalibur-pool,excalibur-pool,20020820
cc.catalysts.gradle,catalysts-gradle-plugins-legacy,0.0.10
asm,asm-tree,1.5.3
cc.catalysts.gradle,catalysts-gradle-plugins-legacy,0.0.11
asm,asm-tree,2.0
asm,asm-tree,2.1
findbugs,annotations,0.9.3
asm,asm-tree,2.2
findbugs,annotations,0.9.4
asm,asm-tree,3.0
asm,asm-tree,2.2.1
findbugs,annotations,0.9.6
findbugs,annotations,1.0.0
asm,asm-tree,20041228.180559
gnu-regexp,gnu-regexp,1.1.4
gg.pistol,lumberjack,0.0.1
gnu.getopt,java-getopt,1.0.13
gg.pistol,lumberjack,0.0.2
biz.aQute,bndlib,0.0.116
biz.aQute,bndlib,0.0.133
hsqldb,hsqldb,1.6.1
biz.aQute,bndlib,0.0.138
hsqldb,hsqldb,1.7.0
biz.aQute,bndlib,0.0.140
hsqldb,hsqldb,1.7.1
biz.aQute,bndlib,0.0.145
hsqldb,hsqldb,1.7.2
biz.aQute,bndlib,0.0.160
hsqldb,hsqldb,1.7.2-alpha
biz.aQute,bndlib,0.0.169
hsqldb,hsqldb,1.7.2-rc1
biz.aQute,bndlib,0.0.189
hsqldb,hsqldb,1.7.2.2
biz.aQute,bndlib,0.0.190
hsqldb,hsqldb,1.7.3.0
biz.aQute,bndlib,0.0.198
hsqldb,hsqldb,1.7.3.3
biz.aQute,bndlib,0.0.199
br.com.anteros,anteros-core-android,1.0.1
hsqldb,hsqldb,1.8.0.1
hu.kazocsaba,duration-format,1.0.0
biz.aQute,bndlib,0.0.203
br.com.anteros,anteros-core-android,1.0.2
hsqldb,hsqldb,1.8.0.10
biz.aQute,bndlib,0.0.205
hsqldb,hsqldb,1.8.0.4
br.com.anteros,anteros-core-android,1.0.3
biz.aQute,bndlib,0.0.208
hsqldb,hsqldb,1.8.0.5
br.com.anteros,anteros-core-android,1.0.4
hsqldb,hsqldb,1.8.0.7
biz.aQute,bndlib,0.0.212
jwebunit,jwebunit,1.2
br.com.anteros,anteros-core-android,1.0.5
biz.aQute,bndlib,0.0.213
br.com.anteros,anteros-core-android,1.0.6
biz.aQute,bndlib,0.0.226
kxml2,kxml2,2.1.8
br.com.anteros,anteros-core-android,1.0.7
biz.aQute,bndlib,0.0.227
biz.aQute,bndlib,0.0.231
im.actor,actor-api-java,1.5
il.ac.technion.cs.ssdl,command-line-processing,1.0.1
biz.aQute,bndlib,0.0.236
im.actor,actor-api-java,1.6
biz.aQute,bndlib,0.0.238
im.actor,actor-api-java,1.6.2
informa,informa,0.6.0
biz.aQute,bndlib,0.0.243
im.actor,actor-api-java,1.6.3
biz.aQute,bndlib,0.0.244
im.actor,actor-api-java,1.6.4
biz.aQute,bndlib,0.0.249
im.actor,actor-api-java,2.0.0
biz.aQute,bndlib,0.0.255
biz.aQute,bndlib,0.0.264
im.actor,actor-api-java,2.1.0
biz.aQute,bndlib,0.0.278
im.actor,actor-api-java,2.1.1
biz.aQute,bndlib,0.0.311
io.advantageous.boon,boon-json,0.5.0
im.actor,actor-api-java,2.1.2
biz.aQute,bndlib,0.0.357
io.advantageous.boon,boon-json,0.5.2
im.actor,actor-api-java,2.1.3
io.advantageous.boon,boon-json,0.5.3
im.actor,actor-api-java,2.2.0
io.advantageous.boon,boon-json,0.5.4
io.advantageous.boon,boon-json,0.5.5
info.android15.nucleus,nucleus,1.0.0
io.advantageous.boon,boon-json,0.5.6.RELEASE
io.advantageous.boon,boon-json,0.5.7
info.android15.nucleus,nucleus,1.1.0
hu.kazocsaba.math,geometry,1.0.0
info.android15.nucleus,nucleus,1.1.1
io.advantageous.boon,boon-json,0.6.0
hu.kazocsaba.math,geometry,1.1.0
info.android15.nucleus,nucleus,1.1.2
io.advantageous.boon,boon-json,0.6.1
com.3levers.cssselectors,cssselectors,1.0
hu.kazocsaba.math,geometry,1.1.1
info.android15.nucleus,nucleus,1.3.0
io.advantageous.boon,boon-json,0.6.2
hu.kazocsaba.math,geometry,1.1.2
info.android15.nucleus,nucleus,1.3.1
io.advantageous.boon,boon-json,0.6.3
info.android15.nucleus,nucleus,1.3.2
io.advantageous.boon,boon-json,0.6.4
hu.kazocsaba.math,matrix,1.0.0
io.advantageous.boon,boon-json,0.6.5
info.android15.nucleus,nucleus,1.3.3
hu.kazocsaba.math,matrix,1.1.0
info.android15.nucleus,nucleus,2.0.0
jakarta-regexp,jakarta-regexp,1.4
hu.kazocsaba.math,matrix,1.2.0
io.advantageous.boon,boon-reflekt,0.5.2
info.android15.nucleus,nucleus,2.0.0-beta
org.hibernate,hibernate-entitymanager,3.4.0.GA
hu.kazocsaba.math,matrix,1.2.1
io.advantageous.boon,boon-reflekt,0.5.3
info.android15.nucleus,nucleus,2.0.0-beta2
io.advantageous.boon,boon-reflekt,0.5.4
info.android15.nucleus,nucleus,2.0.0-beta3
io.advantageous.boon,boon-reflekt,0.5.5
info.android15.nucleus,nucleus,2.0.0-beta4
io.advantageous.boon,boon-reflekt,0.5.6.RELEASE
info.android15.nucleus,nucleus,2.0.0-beta5
io.advantageous.boon,boon-reflekt,0.5.7
info.android15.nucleus,nucleus,2.0.0-beta6
io.advantageous.boon,boon-reflekt,0.6.0
info.android15.nucleus,nucleus,2.0.0-beta7
org.codehaus.groovy,groovy-all,1.1-beta-2
io.advantageous.boon,boon-reflekt,0.6.1
info.android15.nucleus,nucleus,2.0.0-beta8
io.advantageous.boon,boon-reflekt,0.6.2
info.android15.nucleus,nucleus,2.0.1
io.advantageous.boon,boon-reflekt,0.6.3
info.android15.nucleus,nucleus,2.0.2
javassist,javassist,2.5.1
io.advantageous.boon,boon-reflekt,0.6.4
info.android15.nucleus,nucleus,2.0.3
javassist,javassist,3.0
io.advantageous.boon,boon-reflekt,0.6.5
info.android15.nucleus,nucleus,2.0.4
javassist,javassist,3.0-rc-1
info.android15.nucleus,nucleus,2.0.5
javassist,javassist,3.1
javax.activation,activation,1.1
javassist,javassist,3.12.0.SP1
info.android15.nucleus,nucleus,2.0.5beta
javassist,javassist,3.10.0.GA
cc.fozone.validation,fo-validation,0.9.0.RELEASE
javax.activation,activation,1.1-rev-1
jaxen,jaxen,1.0-FCS
javassist,javassist,3.11.0.GA
info.android15.nucleus,nucleus,2.0.6
cc.fozone.validation,fo-validation,0.9.1.RELEASE
javax.xml.bind,jsr173_api,1.0
javax.activation,activation,1.1.1
jaxen,jaxen,1.1
javassist,javassist,3.12.0.GA
info.android15.nucleus,nucleus,3.0.0
info.android15.nucleus,nucleus,3.0.0-beta
jaxen,jaxen,1.1-beta-11
javassist,javassist,3.12.1.GA
jaxen,jaxen,1.1-beta-12
info.android15.nucleus,nucleus,3.0.1
jboss,javassist,2.5.1
javassist,javassist,3.1RC1
jaxen,jaxen,1.1-beta-2
jboss,javassist,2.6
info.android15.nucleus,nucleus,4.0.0
br.com.anteros.social,anteros-social-android-core,1.0.0
javassist,javassist,3.3
jboss,javassist,3.0
jaxen,jaxen,1.1-beta-3
br.com.anteros.social,anteros-social-android-core,1.0.1
javassist,javassist,3.3.GA
jboss,javassist,3.0-rc-1
jaxen,jaxen,1.1-beta-4
br.com.anteros.social,anteros-social-android-core,1.0.2
jcache,jcache,1.0-dev-1
javassist,javassist,3.4.GA
jboss,javassist,3.1
br.com.anteros.social,anteros-social-android-core,1.0.3
jaxen,jaxen,1.1-beta-5
jcache,jcache,1.0-dev-2
javassist,javassist,3.5.0.GA
jboss,javassist,3.3.ga
jaxen,jaxen,1.1-beta-6
javassist,javassist,3.6.0.GA
jboss,javassist,3.4.ga
javax.annotation,jsr250-api,1.0
javassist,javassist,3.7.1.GA
jaxen,jaxen,1.1-beta-7
jboss,javassist,3.6.ga
jcifs,jcifs,0.6.5
javassist,javassist,3.8.0.GA
jboss,javassist,3.7.ga
jaxen,jaxen,1.1-beta-8
jcifs,jcifs,0.7.0b12
javassist,javassist,3.8.0.GA-brew
jaxen,jaxen,1.1-beta-9
jcifs,jcifs,0.7.0b5
javassist,javassist,3.8.1.GA
jcoverage,jcoverage,1.0.5
info.android15.nucleus,nucleus-support-v4,1.1.0
jaxen,jaxen,1.1.1
jcifs,jcifs,0.7.3
javassist,javassist,3.9.0.GA
jaxen,jaxen,1.1.3
info.android15.nucleus,nucleus-support-v4,1.1.1
jcifs,jcifs,0.7.8
jcifs,jcifs,0.7.9
jaxen,jaxen,1.1.4
info.android15.nucleus,nucleus-support-v4,1.1.2
jcifs,jcifs,0.8.3
info.android15.nucleus,nucleus-support-v4,1.3.0
jaxen,jaxen,1.1.6
jdepend,jdepend,2.2
jdiff,jdiff,1.0.7
com.3sidedcube.storm,util,0.1a
info.android15.nucleus,nucleus-support-v4,1.3.1
jdiff,jdiff,1.0.9
jdepend,jdepend,2.3
jaxen,jaxen,full
jcifs,jcifs,1.3.17
com.3sidedcube.storm,util,0.2
jdepend,jdepend,2.5
jdom,jdom,0.7
info.android15.nucleus,nucleus-support-v4,1.3.2
jdepend,jdepend,2.7
jdom,jdom,1.0
com.3sidedcube.storm,util,0.3
info.android15.nucleus,nucleus-support-v4,1.3.3
jdom,jdom,1.0b8
info.android15.nucleus,nucleus-support-v4,2.0.0
info.android15.nucleus,nucleus-support-v4,2.0.0-beta
jdom,jdom,b7
info.android15.nucleus,nucleus-support-v4,2.0.0-beta2
jdom,jdom,b8
info.android15.nucleus,nucleus-support-v4,2.0.0-beta3
jdom,jdom,b9
info.android15.nucleus,nucleus-support-v4,2.0.0-beta4
info.android15.nucleus,nucleus-support-v4,2.0.0-beta5
hu.meza.tools,http-client-wrapper,0.1.11
info.android15.nucleus,nucleus-support-v4,2.0.0-beta6
hu.meza.tools,http-client-wrapper,0.1.12
jivesoftware,smack,1.4.1
jline,jline,0.9.0
info.android15.nucleus,nucleus-support-v4,2.0.0-beta7
hu.meza.tools,http-client-wrapper,0.1.7
jivesoftware,smack,1.5.0
jline,jline,0.9.1
info.android15.nucleus,nucleus-support-v4,2.0.0-beta8
hu.meza.tools,http-client-wrapper,0.1.8
jivesoftware,smack,2.0.0
jline,jline,0.9.5
info.android15.nucleus,nucleus-support-v4,2.0.1
hu.meza.tools,http-client-wrapper,0.1.9
jboss,jboss-cache,1.2.2
jline,jline,0.9.9
jboss,jboss-cache,1.4.1.GA
jivesoftware,smack,3.0.4
info.android15.nucleus,nucleus-support-v4,2.0.2
jmimemagic,jmimemagic,0.0.4a
jline,jline,0.9.91
