group_id,artifact_id,version_number
com.ogaclejapan.arclayout,library,0.2.0
com.ning,async-http-client,1.9.14
com.microsoft.azure,azure-storage,1.2.0
com.mikepenz,materialdrawer,5.0.9
org.dbtools,dbtools-android,3.1.3
com.netflix.archaius,archaius-scala,0.7.0
com.nimbusds,nimbus-jose-jwt,2.19
com.ogaclejapan.arclayout,library,0.2.1
com.ning,async-http-client,1.9.15
com.microsoft.azure,azure-storage,1.3.1
com.netflix.archaius,archaius-scala,0.7.1
com.mikepenz,materialdrawer,5.1.0
org.dbtools,dbtools-android,3.2.0
com.nimbusds,nimbus-jose-jwt,2.19.1
com.ogaclejapan.arclayout,library,0.2.2
com.ning,async-http-client,1.9.16
com.netflix.archaius,archaius-scala,0.7.3
com.microsoft.azure,azure-storage,2.0.0
com.mikepenz,materialdrawer,5.1.1
org.dbtools,dbtools-android,3.3.0
com.nimbusds,nimbus-jose-jwt,2.20
com.ogaclejapan.arclayout,library,1.0.0
com.ning,async-http-client,1.9.17
com.netflix.archaius,archaius-scala,0.7.4
com.microsoft.azure,azure-storage,2.1.0
com.mikepenz,materialdrawer,5.1.2
org.dbtools,dbtools-android,3.3.1
com.nimbusds,nimbus-jose-jwt,2.21
com.ogaclejapan.arclayout,library,1.0.1
com.netflix.archaius,archaius-scala,0.7.4-rc.1
com.ning,async-http-client,1.9.18
com.microsoft.azure,azure-storage,2.2.0
com.mikepenz,materialdrawer,5.1.3
org.dbtools,dbtools-android,3.4.0
com.nimbusds,nimbus-jose-jwt,2.22
com.ogaclejapan.arclayout,library,1.1.0
com.ning,async-http-client,1.9.19
com.netflix.archaius,archaius-typesafe,0.6.5
com.mikepenz,materialdrawer,5.1.4
com.nimbusds,nimbus-jose-jwt,2.22.1
com.microsoft.azure,azure-storage,3.0.0
org.dbtools,dbtools-android,3.4.1
com.ning,async-http-client,1.9.2
com.nimbusds,nimbus-jose-jwt,2.23
com.netflix.archaius,archaius-typesafe,0.6.6
org.dbtools,dbtools-android,3.5.0
com.microsoft.azure,azure-storage,3.1.0
com.mikepenz,materialdrawer,5.1.5
com.ning,async-http-client,1.9.20
com.netflix.archaius,archaius-typesafe,0.7.0
com.nimbusds,nimbus-jose-jwt,2.24
org.dbtools,dbtools-android,4.0.0
com.mikepenz,materialdrawer,5.1.6
com.microsoft.azure,azure-storage,4.0-alpha-1
com.ning,async-http-client,1.9.21
com.microsoft.azure,azure-storage,4.0.0
org.dbtools,dbtools-android,4.0.1
com.netflix.archaius,archaius-typesafe,0.7.1
com.nimbusds,nimbus-jose-jwt,2.25
org.bitbucket.cowwoc,diff-match-patch,1.1
com.ning,async-http-client,1.9.22
com.mikepenz,materialdrawer,5.1.7
org.dbtools,dbtools-android,4.0.2
com.netflix.archaius,archaius-typesafe,0.7.3
com.nimbusds,nimbus-jose-jwt,2.26
com.mikepenz,materialdrawer,5.1.8
com.microsoft.azure,azure-storage,4.1.0
com.ning,async-http-client,1.9.23
org.dbtools,dbtools-android,4.1.1
com.netflix.archaius,archaius-typesafe,0.7.4
com.nimbusds,nimbus-jose-jwt,2.26.1
com.mikepenz,materialdrawer,5.1.9
com.microsoft.azure,azure-storage,4.2.0
com.ning,async-http-client,1.9.24
org.dbtools,dbtools-android,4.1.2
com.netflix.archaius,archaius-typesafe,0.7.4-rc.1
com.mikepenz,materialdrawer,5.2.0
com.microsoft.azure,azure-storage,4.3.0
com.ogaclejapan.smarttablayout,library,1.0.0
com.ning,async-http-client,1.9.25
org.dbtools,dbtools-android,5.0.0
com.netflix.archaius,archaius-typesafe,1.1.0-rc.1
org.dbunit,dbunit,2.2
com.nimbusds,nimbus-jose-jwt,3.0
com.mikepenz,materialdrawer,5.2.1
com.ogaclejapan.smarttablayout,library,1.1.0
org.dbtools,dbtools-android,5.0.1
com.ning,async-http-client,1.9.26
org.dbtools,dbtools-android,5.0.3
org.dbunit,dbunit,2.2.1
com.netflix.archaius,archaius-typesafe,2.0.0-rc.1
com.nimbusds,nimbus-jose-jwt,3.1
org.dbtools,dbtools-android,5.0.2
com.mikepenz,materialdrawer,5.2.2
com.ning,async-http-client,1.9.27
com.ogaclejapan.smarttablayout,library,1.1.1
org.dbunit,dbunit,2.2.2
com.netflix.archaius,archaius-typesafe,2.0.0-rc.2
org.dbunit,dbunit,2.2.3
com.ning,async-http-client,1.9.28
com.nimbusds,nimbus-jose-jwt,3.1.1
com.mikepenz,materialdrawer,5.2.5
com.ogaclejapan.smarttablayout,library,1.1.2
com.netflix.archaius,archaius-typesafe,2.0.0-rc.3
org.dbtools,dbtools-android,6.0.0
org.dbunit,dbunit,2.3.0
com.ning,async-http-client,1.9.29
com.nimbusds,nimbus-jose-jwt,3.1.2
com.mikepenz,materialdrawer,5.2.6
com.ogaclejapan.smarttablayout,library,1.1.3
com.netflix.archaius,archaius-typesafe,2.0.0-rc.4
org.dbunit,dbunit,2.4.0
org.dbtools,dbtools-android,6.0.1
com.ning,async-http-client,1.9.3
com.nimbusds,nimbus-jose-jwt,3.10
com.ogaclejapan.smarttablayout,library,1.2.0
com.mikepenz,materialdrawer,5.2.7
org.dbunit,dbunit,2.4.1
org.dbtools,dbtools-android,7.0.0
com.netflix.archaius,archaius-typesafe,2.0.0-rc.5
com.ning,async-http-client,1.9.30
com.nimbusds,nimbus-jose-jwt,3.2
com.ogaclejapan.smarttablayout,library,1.2.1
com.mikepenz,materialdrawer,5.2.8
org.dbunit,dbunit,2.4.2
org.dbtools,dbtools-android,7.0.1
com.ning,async-http-client,1.9.31
com.netflix.archaius,archaius-typesafe,2.0.0-rc.6
com.nimbusds,nimbus-jose-jwt,3.2.1
org.dbunit,dbunit,2.4.3
org.dbtools,dbtools-android,7.0.2
com.ogaclejapan.smarttablayout,library,1.2.2
com.mikepenz,materialdrawer,5.2.9
com.ning,async-http-client,1.9.32
com.netflix.archaius,archaius-typesafe,2.0.0-rc.7
org.dbunit,dbunit,2.4.4
com.ogaclejapan.smarttablayout,library,1.2.3
org.dbtools,dbtools-android,7.0.3
com.nimbusds,nimbus-jose-jwt,3.2.2
com.mikepenz,materialdrawer,5.3.0
com.ning,async-http-client,1.9.33
org.dbunit,dbunit,2.4.5
com.ogaclejapan.smarttablayout,library,1.3.0
org.dbtools,dbtools-android,7.0.4
com.nimbusds,nimbus-jose-jwt,3.3
com.mikepenz,materialdrawer,5.3.1
com.ning,async-http-client,1.9.34
com.netflix.archaius,archaius-zookeeper,0.5.10
org.dbtools,dbtools-android,7.0.5
org.dbunit,dbunit,2.4.6
com.ogaclejapan.smarttablayout,library,1.4.0
com.nimbusds,nimbus-jose-jwt,3.4
com.mikepenz,materialdrawer,5.3.2
com.ning,async-http-client,1.9.35
com.netflix.archaius,archaius-zookeeper,0.5.11
org.dbunit,dbunit,2.4.7
com.ogaclejapan.smarttablayout,library,1.4.1
org.dbtools,dbtools-android,7.0.6
com.nimbusds,nimbus-jose-jwt,3.5
com.mikepenz,materialdrawer,5.3.3
com.ogaclejapan.smarttablayout,library,1.4.2
org.dbunit,dbunit,2.4.8
com.ning,async-http-client,1.9.36
com.netflix.archaius,archaius-zookeeper,0.5.12
org.dbtools,dbtools-android,7.0.7
com.nimbusds,nimbus-jose-jwt,3.6
com.mikepenz,materialdrawer,5.3.4
com.ogaclejapan.smarttablayout,library,1.5.0
org.dbtools,dbtools-android,7.0.8
org.dbunit,dbunit,2.4.9
com.netflix.archaius,archaius-zookeeper,0.5.13
com.ning,async-http-client,1.9.37
com.nimbusds,nimbus-jose-jwt,3.7
com.mikepenz,materialdrawer,5.3.5
